1 0.0 1  0.0 0.06204023765588021
1 0.0 2  0.0 0.054582649380349325
1 0.0 3  0.0 0.07288904875260607
1 0.0 4  0.0 0.07134584527383428
1 0.0 5  3.77 0.02019240835982089
1 0.0 6  3.77 0.015876666285513156
1 0.0 7  3.77 0.01620133269245438
1 0.0 8  3.77 0.03369574326604159
1 0.0 9  3.77 0.011292423640423153
1 0.0 10  3.77 0.012638313474769378
1 0.0 11  3.77 0.004929579712570749
1 0.0 12  3.77 0.0014729009090169204
1 0.0 13  3.77 0.010750529848821543
1 0.0 14  3.77 0.011787955246610717
1 0.0 15  7.24 0.030774005984660877
1 0.0 16  7.24 0.027306288020507507
1 0.0 17  7.24 0.020478633722164644
1 0.0 18  7.24 0.011385419850073665
1 0.0 19  7.24 0.010317295096932948
1 0.0 20  44.57 0.0019870872523122095
1 0.0 21  44.57 0.0016554122357753426
1 0.0 22  44.57 0.0016601042491265477
1 0.0 23  44.57 0.0020574320871840283
1 0.0 24  44.57 0.0043990436013682
1 0.0 25  44.57 0.0038867883330933836
1 0.0 26  44.57 0.0046193597082900915
1 0.0 27  44.57 0.0009399621294747427
1 0.0 28  44.57 0.0008964677191399421
1 0.0 29  44.57 0.0008825366497874745
1 0.0 30  44.57 0.0008205686038609246
1 0.0 31  44.57 0.0007460591087475534
1 0.0 32  44.57 0.000982410186375409
1 0.0 33  44.57 0.0009986477741339528
1 0.0 34  44.57 0.0008548368964773072
1 0.0 35  44.57 0.003624971656473557
1 0.0 36  44.57 0.0012199062379699482
1 0.0 37  44.57 0.0015327858869820376
1 0.0 38  44.57 0.001361316830937269
1 0.0 39  44.57 0.001332159693660917
1 0.0 40  44.57 0.001286948134030012
1 0.0 41  44.57 0.0014378598934034006
1 0.0 42  44.57 0.0006962060950067821
1 0.0 43  44.57 0.0012629462356456183
1 0.0 44  44.57 0.005994269522757001
1 0.0 45  44.57 0.005378728428970331
1 0.0 46  44.57 0.0060813224625733305
1 0.0 47  44.57 0.005417993012215515
1 0.0 48  44.57 0.008660837175993915
1 0.0 49  44.57 0.006112266717272839
1 0.0 50  44.57 0.008031398268769398
1 0.0 51  44.57 0.00890408911890217
1 0.0 52  44.57 0.002482333674716824
1 0.0 53  44.57 0.0036925187828537624
1 0.0 54  44.57 0.0022369064122349774
1 0.0 55  44.57 0.002430187867846616
1 0.0 56  44.57 0.0023060273428562386
1 0.0 57  44.57 0.0024171558654445834
1 0.0 58  51.19 0.012089273449585512
1 0.0 59  51.19 0.013547533301480893
1 0.0 60  51.19 0.018042760730327366
1 0.0 61  51.19 0.012075500838943837
1 0.0 62  51.19 0.0066618161450331176
2 0.0 2  0.0 0.060877279041205525
2 0.0 3  0.0 0.05386363138861353
2 0.0 4  0.0 0.10742806731126867
2 0.0 5  3.77 0.02344651791406996
2 0.0 6  3.77 0.019658436233950465
2 0.0 7  3.77 0.017628144340288424
2 0.0 8  3.77 0.03787400267957401
2 0.0 9  3.77 0.014256546830224252
2 0.0 10  3.77 0.016585085324663212
2 0.0 11  3.77 0.005837742887272897
2 0.0 12  3.77 0.0012700132718497417
2 0.0 13  3.77 0.0073248028197345555
2 0.0 14  3.77 0.0132971939071592
2 0.0 15  7.24 0.025906980724647137
2 0.0 16  7.24 0.03498362503612426
2 0.0 17  7.24 0.024713267448432864
2 0.0 18  7.24 0.008640754199060848
2 0.0 19  7.24 0.009221553847249209
2 0.0 20  44.57 0.001707457829025403
2 0.0 21  44.57 0.001573424819778671
2 0.0 22  44.57 0.0021139262674007447
2 0.0 23  44.57 0.002529570237054514
2 0.0 24  44.57 0.005513090433553143
2 0.0 25  44.57 0.0027470521934399444
2 0.0 26  44.57 0.0035423831125324396
2 0.0 27  44.57 0.0011370392674756062
2 0.0 28  44.57 0.0009031524037509352
2 0.0 29  44.57 0.0009100167718407095
2 0.0 30  44.57 0.000926534929838425
2 0.0 31  44.57 0.0008663273192205274
2 0.0 32  44.57 0.0010957193143529443
2 0.0 33  44.57 0.0010592467998836812
2 0.0 34  44.57 0.0009531358075576316
2 0.0 35  44.57 0.003924231906328559
2 0.0 36  44.57 0.0012076436247684269
2 0.0 37  44.57 0.001303051355877357
2 0.0 38  44.57 0.001091389157352334
2 0.0 39  44.57 0.001114077481578437
2 0.0 40  44.57 0.001096975421231159
2 0.0 41  44.57 0.001276972232280888
2 0.0 42  44.57 0.0008372124891880479
2 0.0 43  44.57 0.001124775371957568
2 0.0 44  44.57 0.005516684960172642
2 0.0 45  44.57 0.005294376566443881
2 0.0 46  44.57 0.006001355427921573
2 0.0 47  44.57 0.006088935304443003
2 0.0 48  44.57 0.006973188943634276
2 0.0 49  44.57 0.006897748935891014
2 0.0 50  44.57 0.007205562972469939
2 0.0 51  44.57 0.008250197742789987
2 0.0 52  44.57 0.0018664624744689684
2 0.0 53  44.57 0.0041350708847238534
2 0.0 54  44.57 0.0009550965458728769
2 0.0 55  44.57 0.001916516262071746
2 0.0 56  44.57 0.0027647246921149622
2 0.0 57  44.57 0.0030569827517269816
2 0.0 58  51.19 0.0185314436774362
2 0.0 59  51.19 0.009902432702582861
2 0.0 60  51.19 0.016593605160897116
2 0.0 61  51.19 0.013548247867704536
2 0.0 62  51.19 0.005127835794237733
3 0.0 3  0.0 0.005623713936807014
3 0.0 4  0.0 0.11898804489671796
3 0.0 5  3.77 0.011270166716408089
3 0.0 6  3.77 0.0231283690608527
3 0.0 7  3.77 0.03564013494800725
3 0.0 8  3.77 0.022007809519762254
3 0.0 9  3.77 0.011128442367640318
3 0.0 10  3.77 0.046345347566936534
3 0.0 11  3.77 0.009295451913839015
3 0.0 12  3.77 0.001057981702937884
3 0.0 13  3.77 0.04295314361088903
3 0.0 14  3.77 0.005659941389562627
3 0.0 15  7.24 0.04184013221735886
3 0.0 16  7.24 0.01831072372892207
3 0.0 17  7.24 0.0032145919116102024
3 0.0 18  7.24 0.04588245978102505
3 0.0 19  7.24 0.006924704792653958
3 0.0 20  44.57 0.002931723068838048
3 0.0 21  44.57 0.0028133237378828715
3 0.0 22  44.57 0.0031326374762513146
3 0.0 23  44.57 0.0024432806820544597
3 0.0 24  44.57 0.006678918226947386
3 0.0 25  44.57 0.003095006210993945
3 0.0 26  44.57 0.0007788707124871636
3 0.0 27  44.57 0.0033443951139491383
3 0.0 28  44.57 0.0026071679329543692
3 0.0 29  44.57 0.002050275055749589
3 0.0 30  44.57 0.0025610661575639635
3 0.0 31  44.57 0.002467097838582067
3 0.0 32  44.57 0.002693074850719207
3 0.0 33  44.57 0.0023322957608743525
3 0.0 34  44.57 0.002943765076878496
3 0.0 35  44.57 0.0051321469027353975
3 0.0 36  44.57 0.0035957280117559264
3 0.0 37  44.57 0.0029659555219699735
3 0.0 38  44.57 0.0027413453511362937
3 0.0 39  44.57 0.0028704979484964225
3 0.0 40  44.57 0.002701858587216745
3 0.0 41  44.57 0.002743380883978431
3 0.0 42  44.57 0.002587091367611819
3 0.0 43  44.57 0.0028432438089088597
3 0.0 44  44.57 0.00426182101639389
3 0.0 45  44.57 0.006113893235209196
3 0.0 46  44.57 0.006469412623497419
3 0.0 47  44.57 0.006606760565380093
3 0.0 48  44.57 0.004398267072213984
3 0.0 49  44.57 0.0019927227635451635
3 0.0 50  44.57 0.0007525468179669339
3 0.0 51  44.57 0.0019264638966012984
3 0.0 52  44.57 0.0037613101610579815
3 0.0 53  44.57 0.002159323197501683
3 0.0 54  44.57 0.0021164011940544222
3 0.0 55  44.57 0.0017535573020726238
3 0.0 56  44.57 0.0022565347165440387
3 0.0 57  44.57 0.0015700946246540901
3 0.0 58  51.19 0.008439938897087856
3 0.0 59  51.19 0.011247904847271556
3 0.0 60  51.19 0.016038716156265766
3 0.0 61  51.19 0.02038935146669324
3 0.0 62  51.19 0.019313873664857685
4 0.0 4  0.0 0.12645802114858037
4 0.0 5  3.77 0.013830052184897836
4 0.0 6  3.77 0.010673947851756984
4 0.0 7  3.77 0.011093153157749601
4 0.0 8  3.77 0.028332445412410052
4 0.0 9  3.77 0.010049600367919095
4 0.0 10  3.77 0.006098366065205486
4 0.0 11  3.77 0.004013465071495699
4 0.0 12  3.77 0.0009750528299603486
4 0.0 13  3.77 0.007954252506978173
4 0.0 14  3.77 0.010629433794189447
4 0.0 15  7.24 0.033660927938168356
4 0.0 16  7.24 0.019719371848555142
4 0.0 17  7.24 0.01694108556889067
4 0.0 18  7.24 0.009508847315087821
4 0.0 19  7.24 0.00585026062714903
4 0.0 20  44.57 0.003718469646561419
4 0.0 21  44.57 0.003445391570876958
4 0.0 22  44.57 0.004511822126852855
4 0.0 23  44.57 0.002883342300050464
4 0.0 24  44.57 0.004761195902363418
4 0.0 25  44.57 0.003723930356761409
4 0.0 26  44.57 0.0026910381844693436
4 0.0 27  44.57 0.0011236134326912312
4 0.0 28  44.57 0.002085245997749669
4 0.0 29  44.57 0.002740948444959436
4 0.0 30  44.57 0.002481556349425252
4 0.0 31  44.57 0.002264243885726279
4 0.0 32  44.57 0.001618511830451904
4 0.0 33  44.57 0.002229550871461162
4 0.0 34  44.57 0.0023211726118629065
4 0.0 35  44.57 0.002908083140201187
4 0.0 36  44.57 0.0014508331566008403
4 0.0 37  44.57 0.0022436255896642584
4 0.0 38  44.57 0.0022675655327494743
4 0.0 39  44.57 0.0022747733382944206
4 0.0 40  44.57 0.002303010794813422
4 0.0 41  44.57 0.001795544798904889
4 0.0 42  44.57 0.002100831576418968
4 0.0 43  44.57 0.0020895465720207756
4 0.0 44  44.57 0.0031495925372188394
4 0.0 45  44.57 0.002096667791762914
4 0.0 46  44.57 0.003837521006630532
4 0.0 47  44.57 0.004175168181790023
4 0.0 48  44.57 0.0025337839289376165
4 0.0 49  44.57 0.007150999619243217
4 0.0 50  44.57 0.004155164828275711
4 0.0 51  44.57 0.004439303648519373
4 0.0 52  44.57 0.007273609802955671
4 0.0 53  44.57 0.006056492930962294
4 0.0 54  44.57 0.0063517725203186695
4 0.0 55  44.57 0.0028482014052340038
4 0.0 56  44.57 0.0023330216597867263
4 0.0 57  44.57 0.0010083642567827761
4 0.0 58  51.19 0.007023621883337449
4 0.0 59  51.19 0.009365543858555024
4 0.0 60  51.19 0.007426252572285823
4 0.0 61  51.19 0.008919958872758772
4 0.0 62  51.19 0.004929816360093481
5 3.77 5  0.0 0.02430282041441914
5 3.77 6  0.0 0.012080323974639172
5 3.77 7  0.0 0.024913983951636173
5 3.77 8  0.0 0.009941775498689097
5 3.77 9  0.0 0.0082050146660082
5 3.77 10  0.0 0.031085737314943365
5 3.77 11  0.0 0.014085409361273452
5 3.77 12  0.0 0.024552373167092363
5 3.77 13  0.0 0.04098384398108713
5 3.77 14  0.0 0.03378444906493046
5 3.77 15  3.48 0.005587072706527489
5 3.77 16  3.48 0.0067635542859265175
5 3.77 17  3.48 0.03034113122186567
5 3.77 18  3.48 0.01097554206360551
5 3.77 19  3.48 0.044983394902094465
5 3.77 20  40.8 0.0023661011905359523
5 3.77 21  40.8 0.00658263030877587
5 3.77 22  40.8 0.0008065023498406607
5 3.77 23  40.8 0.004008889636187323
5 3.77 24  40.8 0.008264503637852345
5 3.77 25  40.8 0.0057104032161306925
5 3.77 26  40.8 0.003536109396553286
5 3.77 27  40.8 0.009508175354949163
5 3.77 28  40.8 0.0077171163649932765
5 3.77 29  40.8 0.0070589106294300765
5 3.77 30  40.8 0.006732548063398739
5 3.77 31  40.8 0.006469533975345296
5 3.77 32  40.8 0.007074412040116263
5 3.77 33  40.8 0.006916066484244044
5 3.77 34  40.8 0.006643839656879894
5 3.77 35  40.8 0.00998327212656203
5 3.77 36  40.8 0.009161605772921199
5 3.77 37  40.8 0.006986296569297241
5 3.77 38  40.8 0.006696686592543594
5 3.77 39  40.8 0.00679661476805133
5 3.77 40  40.8 0.0064638229188427885
5 3.77 41  40.8 0.006748874138409715
5 3.77 42  40.8 0.006309196235751069
5 3.77 43  40.8 0.006737560413037212
5 3.77 44  40.8 0.00308843641686861
5 3.77 45  40.8 0.002569240606852124
5 3.77 46  40.8 0.0025818655189305535
5 3.77 47  40.8 0.002844332359032804
5 3.77 48  40.8 0.006154245870222195
5 3.77 49  40.8 0.0026422346144975416
5 3.77 50  40.8 0.001100221932774867
5 3.77 51  40.8 0.001797222544499045
5 3.77 52  40.8 0.0019779578305983074
5 3.77 53  40.8 0.003480733088082878
5 3.77 54  40.8 0.003466454298027786
5 3.77 55  40.8 0.0037361923462059968
5 3.77 56  40.8 0.0042878122433047715
5 3.77 57  40.8 0.0025896551638024084
5 3.77 58  47.42 0.002873906409625073
5 3.77 59  47.42 0.0033270564986644766
5 3.77 60  47.42 0.0046618946157932495
5 3.77 61  47.42 0.0018698145229083716
5 3.77 62  47.42 0.00484736790841895
6 3.77 6  0.0 0.15005265378251817
6 3.77 7  0.0 0.10987853142437255
6 3.77 8  0.0 0.013807954094329007
6 3.77 9  0.0 0.04008479928455789
