1 0.0 1  0.0 2.0981926671355352e-7
1 0.0 2  32.8 0.24039629219288178
1 0.0 3  32.81 0.27110485011125907
1 0.0 4  32.88 0.2576260994293826
1 0.0 5  67.17 0.03386474697701923
1 0.0 6  67.18 0.05462410862306534
1 0.0 7  67.21 0.04555263359484552
1 0.0 8  69.63 1.1305910266200094e-5
1 0.0 9  69.65 2.522454828305634e-5
1 0.0 10  69.68 2.3277187890399942e-5
1 0.0 11  69.68 2.2104660769742786e-5
1 0.0 12  69.77 6.35930667345738e-6
1 0.0 13  91.4 3.3117994129965484e-6
1 0.0 14  91.43 3.5531636694410775e-6
1 0.0 15  91.44 1.349771488020141e-5
1 0.0 16  91.44 7.865310050425797e-6
1 0.0 17  91.45 8.828857986378651e-6
1 0.0 18  93.34 0.00025402051024660786
1 0.0 19  93.38 0.0002035113455665034
1 0.0 20  93.41 0.000257901038722476
1 0.0 21  93.42 0.0003356640697462687
1 0.0 22  93.43 0.00014995141815617532
1 0.0 23  94.06 8.92704205751035e-7
1 0.0 24  100.03 6.257520409678762e-7
1 0.0 25  100.05 1.4026389414142362e-6
1 0.0 26  100.11 3.270496129226197e-7
1 0.0 27  128.85 0.0003206194129501676
1 0.0 28  128.86 0.000108223080468436
1 0.0 29  128.88 0.0008374377793945589
1 0.0 30  128.89 0.0003394617001117114
1 0.0 31  128.9 0.0004863213481694373
1 0.0 32  128.91 0.0008543199837583361
1 0.0 33  128.92 0.0010635931929226525
1 0.0 34  133.15 0.0001022671652520717
1 0.0 35  133.27 7.708258818786391e-5
1 0.0 36  133.28 3.431186416146528e-5
1 0.0 37  133.32 6.0624403358420626e-5
1 0.0 38  133.33 4.448712547814287e-5
1 0.0 39  134.61 0.004429272156220469
1 0.0 40  134.69 0.005995112273458512
1 0.0 41  134.7 0.007044602601760189
1 0.0 42  137.51 0.0007289480182493687
1 0.0 43  137.53 0.0008111022136493463
1 0.0 44  137.54 0.001969269292572808
1 0.0 45  137.57 0.0012231943726948968
1 0.0 46  137.59 0.00040349053173457006
1 0.0 47  139.41 8.295301542940396e-7
1 0.0 48  143.97 0.00022068929190383692
1 0.0 49  143.99 1.9677346656869373e-5
1 0.0 50  144.02 0.00010882433322477839
1 0.0 51  144.03 0.0002234026228170141
1 0.0 52  144.06 0.00015514919220575016
1 0.0 53  153.39 0.0021523619708532487
1 0.0 54  153.43 0.0005219282767235851
1 0.0 55  153.44 0.0004272663723955831
1 0.0 56  153.45 0.0005671746009016838
1 0.0 57  153.48 0.00033290107623464775
1 0.0 58  153.49 0.0008579385065165335
1 0.0 59  153.52 0.0011408669976665912
1 0.0 60  158.95 0.0006121388059275066
1 0.0 61  158.98 0.0019883059567346274
1 0.0 62  159.03 0.00026994840819629594
1 0.0 63  160.48 0.0001457885339366025
1 0.0 64  160.52 0.00011082382205323789
1 0.0 65  160.52 0.00067876202546899
1 0.0 66  160.52 0.0002546997552465554
1 0.0 67  160.55 0.00028514880251887995
1 0.0 68  162.44 0.00018587152614467974
1 0.0 69  162.45 0.0001342171256953622
1 0.0 70  162.47 0.0003847298266776875
