1 0.0 1  0.0 7.557867452600352e-8
1 0.0 2  32.75 0.2746632852698129
1 0.0 3  32.87 0.27772982155731113
1 0.0 4  32.88 0.2751460711930977
1 0.0 5  67.43 0.0342387922476738
1 0.0 6  67.43 0.033907474584378566
1 0.0 7  67.57 0.034254743028632934
1 0.0 8  68.49 5.772178465874371e-5
1 0.0 9  68.96 2.4107378854203894e-6
1 0.0 10  69.75 0.00011077772076325657
1 0.0 11  70.98 7.489905583867002e-5
1 0.0 12  71.23 9.663453533877809e-5
1 0.0 13  89.47 6.605042531112586e-5
1 0.0 14  89.96 0.00044863208464616597
1 0.0 15  90.47 1.444774458024876e-5
1 0.0 16  91.03 2.3616155780638578e-5
1 0.0 17  91.05 2.0352304039428502e-7
1 0.0 18  92.27 1.0460079248473247e-5
1 0.0 19  92.31 2.548972634761484e-5
1 0.0 20  93.71 0.00036772784669869074
1 0.0 21  93.98 4.2435320531703445e-6
1 0.0 22  97.22 0.0003990120746802376
1 0.0 23  97.88 7.088402648550688e-5
1 0.0 24  100.28 7.136206741414307e-7
1 0.0 25  101.5 1.1180500008369538e-7
1 0.0 26  101.5 5.983503500699015e-8
1 0.0 27  129.94 0.00010168058731279599
1 0.0 28  129.96 0.0007913486579280813
1 0.0 29  130.27 0.0004478563346811469
1 0.0 30  130.42 0.0018297113698865154
1 0.0 31  130.82 0.007145935630969855
1 0.0 32  131.37 0.0010457116582392497
1 0.0 33  131.65 0.00015921019330015235
1 0.0 34  131.81 0.00010163332805178347
1 0.0 35  131.91 0.0021877905292860362
1 0.0 36  132.55 0.00164093040764761
1 0.0 37  132.61 0.0028603821661671827
1 0.0 38  133.63 8.869008351800094e-5
1 0.0 39  133.78 0.0010412075841647595
1 0.0 40  134.77 0.0006730492534495095
1 0.0 41  134.83 0.0025100133696807124
1 0.0 42  134.85 8.117454528341812e-5
1 0.0 43  135.12 4.61958015940477e-5
1 0.0 44  137.85 0.002907622309542843
1 0.0 45  138.55 0.002300472564714981
1 0.0 46  138.98 0.0016340282236562017
1 0.0 47  139.59 9.466406913002932e-7
1 0.0 48  142.08 7.828910571124922e-5
1 0.0 49  142.51 0.00013876989308602835
1 0.0 50  143.65 8.803512981672937e-5
1 0.0 51  144.85 0.00022113008485814654
1 0.0 52  145.49 0.00010992294076762389
1 0.0 53  152.36 0.001001583220110006
1 0.0 54  152.81 2.1151964320562755e-6
1 0.0 55  154.38 6.372499323127898e-5
1 0.0 56  154.49 0.0006736567405398379
1 0.0 57  155.8 0.0021196625795302554
1 0.0 58  155.99 0.0005799504495990578
1 0.0 59  156.39 0.0004946440481639016
1 0.0 60  156.98 0.00041221037525458087
1 0.0 61  158.04 0.0016829856306538515
1 0.0 62  158.12 3.9968535453450534e-5
1 0.0 63  159.17 8.363482820239339e-7
1 0.0 64  159.73 0.0011343760685511048
1 0.0 65  161.37 0.00038136469354401684
1 0.0 66  162.91 4.583699451744607e-5
1 0.0 67  162.96 5.274423625076573e-5
1 0.0 68  163.25 0.00016119896524838435
1 0.0 69  163.6 0.00035786166866015893
1 0.0 70  163.74 0.00011836131629987732
1 0.0 71  163.96 0.0005552252697453603
1 0.0 72  164.11 0.0006131289638523319
1 0.0 73  164.17 0.00035479492854050297
1 0.0 74  164.51 0.0003474757446458751
1 0.0 75  165.32 4.22213875760205e-5
1 0.0 76  165.44 9.980194998558735e-5
1 0.0 77  165.5 8.241144760774683e-5
1 0.0 78  165.64 0.0005453924330084733
1 0.0 79  165.85 0.00022645083880921038
1 0.0 80  165.9 0.00019281376925296435
1 0.0 81  166.05 0.00013487718920796217
1 0.0 82  166.12 9.390860916354623e-5
1 0.0 83  169.26 0.00011811242166623907
1 0.0 84  170.15 0.00024207288766993807
1 0.0 85  170.5 0.0005489861031695403
1 0.0 86  198.65 0.000353024111671532
1 0.0 87  199.35 6.983144603458709e-6
1 0.0 88  199.35 2.735482431264212e-6
1 0.0 89  199.35 1.6748451433735453e-6
1 0.0 90  199.35 7.769878324620847e-7
1 0.0 91  199.35 1.1210775753423178e-6
1 0.0 92  199.35 1.5291855768735958e-6
1 0.0 93  199.35 3.126394260501977e-6
1 0.0 94  199.44 6.748564120677266e-7
1 0.0 95  199.46 0.00019825247752105308
1 0.0 96  199.56 3.4246443206880407e-6
1 0.0 97  199.91 0.0013254406841704698
1 0.0 98  200.31 1.301337412782441e-5
1 0.0 99  200.31 1.510355117590883e-5
1 0.0 100  200.83 0.0006844968554354845
2 32.75 2  0.0 1.2320250081220481e-5
2 32.75 3  0.12 1.0415157385712869e-5
2 32.75 4  0.13 2.1864624451961964e-5
2 32.75 5  34.68 5.3976172779168264e-6
2 32.75 6  34.68 6.332683222609196e-6
2 32.75 7  34.82 1.5972621566997467e-6
2 32.75 8  35.73 0.04269703548132476
2 32.75 9  36.21 0.022521232439044657
2 32.75 10  37.0 0.04888023793975211
2 32.75 11  38.23 0.0213539530473639
2 32.75 12  38.48 0.033719214799043204
2 32.75 13  56.72 0.01762873475048416
2 32.75 14  57.21 0.013910063464591964
2 32.75 15  57.72 0.03060236834626883
2 32.75 16  58.28 0.06619917441368384
2 32.75 17  58.3 0.044745474337999566
2 32.75 18  59.52 0.0042734394034007
2 32.75 19  59.56 0.004765816154634232
2 32.75 20  60.96 0.040626032319809366
2 32.75 21  61.23 0.013114430436252284
2 32.75 22  64.47 0.017223277047328053
2 32.75 23  65.13 0.023258488447006443
2 32.75 24  67.53 0.0004259665930046914
2 32.75 25  68.75 0.030357641294332986
2 32.75 26  68.75 0.03503038446111965
2 32.75 27  97.19 0.0008429451973711482
2 32.75 28  97.21 0.00041278836171682135
2 32.75 29  97.52 0.00017134716829015915
2 32.75 30  97.67 0.0010943235263826737
2 32.75 31  98.07 0.00034890906655338564
2 32.75 32  98.62 0.0013559484720917926
2 32.75 33  98.9 0.010357579876051246
2 32.75 34  99.06 0.01368289621403635
2 32.75 35  99.16 9.5766451059511e-5
2 32.75 36  99.8 0.0013016191931673321
2 32.75 37  99.86 0.0010017839694847022
2 32.75 38  100.88 0.022631151025538115
2 32.75 39  101.03 0.001717021516980224
2 32.75 40  102.02 0.0002733221797268976
2 32.75 41  102.08 0.0004318656240834045
2 32.75 42  102.1 0.011053892368316613
2 32.75 43  102.37 0.011518540716583578
2 32.75 44  105.1 0.009315039339341448
2 32.75 45  105.8 0.0023030764200364707
2 32.75 46  106.23 0.00023840535145499943
2 32.75 47  106.84 0.003723388334816085
2 32.75 48  109.33 0.00013240548176477002
2 32.75 49  109.76 0.002195443718756257
2 32.75 50  110.9 0.008928618412893437
2 32.75 51  112.1 0.01143149817385491
2 32.75 52  112.74 0.008802229970765334
2 32.75 53  119.61 3.8577583874349084e-5
2 32.75 54  120.06 0.00014606692019695654
2 32.75 55  121.63 0.0056134175643981245
2 32.75 56  121.74 0.00201155877361957
2 32.75 57  123.05 2.9172214459533507e-5
2 32.75 58  123.24 0.00034408218376515864
2 32.75 59  123.64 0.0002186283120135226
2 32.75 60  124.23 0.003944376067963065
2 32.75 61  125.29 0.01007810631274737
2 32.75 62  125.37 0.0007198419964965801
2 32.75 63  126.42 0.0003918315417039098
2 32.75 64  126.98 5.455513140907269e-5
2 32.75 65  128.62 0.01371674153889475
2 32.75 66  130.16 0.000270075658424338
2 32.75 67  130.21 0.00017853826373188413
2 32.75 68  130.5 0.00040498175869978475
2 32.75 69  130.84 7.142553605226633e-6
2 32.75 70  130.99 0.00011281634480552022
2 32.75 71  131.21 5.303969432484253e-5
2 32.75 72  131.36 0.0035327362120028405
2 32.75 73  131.42 6.9088016753869425e-6
2 32.75 74  131.76 0.0133153585151713
2 32.75 75  132.57 0.0003464957048973305
2 32.75 76  132.69 1.471998032509379e-5
2 32.75 77  132.75 6.77597041326461e-5
2 32.75 78  132.89 0.0001495883423437155
2 32.75 79  133.1 0.0002807943119059343
2 32.75 80  133.15 3.2503533180895154e-6
2 32.75 81  133.3 7.376565597294946e-5
