1 0.0 1  0.0 8.581377194738036e-30
1 0.0 2  32.89 0.2961709439617929
1 0.0 3  32.89 0.29617094396179305
1 0.0 4  32.89 0.2961709439617938
1 0.0 5  67.27 0.03557523101374645
1 0.0 6  67.27 0.035575231013745996
1 0.0 7  67.27 0.03557523101374643
1 0.0 8  69.77 6.499864347071133e-31
1 0.0 9  69.77 7.722849990445986e-30
1 0.0 10  69.77 1.0158470010110682e-30
1 0.0 11  69.77 1.0396989088902397e-29
1 0.0 12  69.77 7.840332885369486e-28
1 0.0 13  91.54 7.155007014739285e-31
1 0.0 14  91.54 1.2175565207397161e-30
1 0.0 15  91.54 3.268512674946878e-30
1 0.0 16  91.54 1.3804453052264256e-30
1 0.0 17  91.54 1.096425668121029e-30
1 0.0 18  93.51 1.5023428624636418e-31
1 0.0 19  93.51 3.6218143936773686e-32
1 0.0 20  93.51 3.1179377674572765e-32
1 0.0 21  93.51 8.630167579087192e-31
1 0.0 22  93.51 3.6254170776230024e-32
1 0.0 23  94.14 2.9834586372611895e-30
1 0.0 24  100.16 1.851946143041685e-30
1 0.0 25  100.16 1.059617072396027e-30
1 0.0 26  100.16 1.5759292554215782e-30
1 0.0 27  129.02 2.3888142936029286e-32
1 0.0 28  129.02 2.3926176222327396e-31
1 0.0 29  129.02 3.891708599555558e-32
1 0.0 30  129.02 2.08191742724651e-32
1 0.0 31  129.02 2.698574143120795e-33
1 0.0 32  129.02 8.566508678741232e-33
1 0.0 33  129.02 1.6430376809135973e-32
1 0.0 34  133.43 8.605441923338984e-31
1 0.0 35  133.43 1.9441708964803446e-31
1 0.0 36  133.43 5.365267960199413e-31
1 0.0 37  133.43 4.276562401692199e-31
1 0.0 38  133.43 2.415835786557019e-31
1 0.0 39  134.78 3.512587062781315e-6
1 0.0 40  134.78 3.5125870627808974e-6
1 0.0 41  134.78 3.5125870627814784e-6
1 0.0 42  137.68 1.0664008626625947e-31
1 0.0 43  137.68 1.020161929001063e-31
1 0.0 44  137.68 2.7279496367868735e-32
1 0.0 45  137.68 2.1908947771474403e-32
1 0.0 46  137.68 5.814440676047501e-33
1 0.0 47  139.56 1.3656430078877903e-31
1 0.0 48  144.16 6.854025762915234e-31
1 0.0 49  144.16 1.486311439578264e-31
1 0.0 50  144.16 5.146868613571308e-31
1 0.0 51  144.16 1.3749331925882185e-30
1 0.0 52  144.16 7.819807090819792e-31
1 0.0 53  153.59 9.840080586654748e-33
1 0.0 54  153.59 1.4286070974914865e-32
1 0.0 55  153.59 1.9077017525549402e-31
1 0.0 56  153.59 7.51155819784275e-32
1 0.0 57  153.59 1.4415776212947756e-32
1 0.0 58  153.59 1.335125465843151e-32
1 0.0 59  153.59 2.718427504464824e-32
1 0.0 60  159.12 4.607458270716804e-31
1 0.0 61  159.12 1.468202547452469e-31
1 0.0 62  159.12 1.2138169454034571e-30
1 0.0 63  160.64 6.825089557577231e-32
1 0.0 64  160.64 2.689942375612909e-31
1 0.0 65  160.64 1.6338326676068803e-31
1 0.0 66  160.64 3.1779707867320106e-31
1 0.0 67  160.64 1.359110852778902e-31
1 0.0 68  162.64 3.352028893304705e-31
1 0.0 69  162.64 1.963257488384854e-32
1 0.0 70  162.64 2.2501042111277982e-32
1 0.0 71  162.64 2.5799517564474857e-31
1 0.0 72  162.64 3.0383144339444897e-32
1 0.0 73  162.64 4.226228835832198e-33
1 0.0 74  162.64 1.8950572907157916e-30
1 0.0 75  165.24 0.00030152264819621397
1 0.0 76  165.24 0.00030152264819622497
1 0.0 77  165.24 0.0003015226481962162
1 0.0 78  165.32 4.2488817878628304e-29
1 0.0 79  165.32 4.47313977272978e-29
1 0.0 80  165.32 8.860772667770181e-29
1 0.0 81  165.32 1.2231084999545479e-27
1 0.0 82  165.32 5.08436298380966e-29
1 0.0 83  173.12 0.00015215859167050805
1 0.0 84  173.12 0.00015215859167050746
1 0.0 85  173.12 0.00015215859167051394
1 0.0 86  199.22 2.289150780944594e-33
1 0.0 87  199.22 1.0165481003960032e-33
1 0.0 88  199.22 1.5149858451536876e-33
1 0.0 89  199.22 1.1384582107565774e-33
1 0.0 90  199.22 2.5314768267054695e-33
1 0.0 91  199.22 5.1476948953852384e-33
1 0.0 92  199.22 1.1317699128160282e-33
1 0.0 93  199.22 3.446261213024636e-31
1 0.0 94  199.22 1.4897508822702643e-31
1 0.0 95  199.46 3.8967015372560925e-31
1 0.0 96  199.46 1.7292792942244454e-32
1 0.0 97  199.46 5.080745150011466e-33
1 0.0 98  199.46 9.075904772938661e-31
1 0.0 99  199.46 6.335146440404682e-33
1 0.0 100  200.92 6.187853126437169e-32
2 32.89 2  0.0 1.5376514137591261e-30
2 32.89 3  0.0 2.817144892161922e-31
2 32.89 4  0.0 6.578960691354012e-30
2 32.89 5  34.38 2.8987859474301796e-28
2 32.89 6  34.38 2.6679643941990247e-30
2 32.89 7  34.38 1.9392493127653667e-29
2 32.89 8  36.88 0.06355384465649885
2 32.89 9  36.88 0.06245446905318682
2 32.89 10  36.88 0.06134150149446163
2 32.89 11  36.88 0.04582603977535755
2 32.89 12  36.88 0.0674639936100449
2 32.89 13  58.66 0.004437806766354504
2 32.89 14  58.66 0.017914012628045064
2 32.89 15  58.66 0.018388874038675968
2 32.89 16  58.66 0.024744913973177955
2 32.89 17  58.66 0.009535821283528964
2 32.89 18  60.62 5.472494675682515e-27
2 32.89 19  60.62 2.344356522970809e-29
2 32.89 20  60.62 3.02822759072129e-28
2 32.89 21  60.62 4.874829666495068e-29
2 32.89 22  60.62 2.3532230513163593e-29
2 32.89 23  61.25 0.006518431962083022
2 32.89 24  67.27 0.01958040823182093
2 32.89 25  67.27 0.016776238482905544
2 32.89 26  67.27 0.007078652529241254
2 32.89 27  96.13 2.8352146222908954e-29
2 32.89 28  96.13 1.6085153538017382e-28
2 32.89 29  96.13 3.6715936599175587e-29
2 32.89 30  96.13 6.78646632984473e-29
2 32.89 31  96.13 3.542755058887666e-30
2 32.89 32  96.13 3.0282202253215933e-30
2 32.89 33  96.13 6.726968633515208e-31
2 32.89 34  100.54 0.02204040935816022
2 32.89 35  100.54 0.02176619036094634
2 32.89 36  100.54 0.039049694525331906
2 32.89 37  100.54 0.02960742574966398
2 32.89 38  100.54 0.04834903838117398
2 32.89 39  101.89 4.516427012291155e-29
2 32.89 40  101.89 8.874960321496282e-28
2 32.89 41  101.89 4.0800565096165065e-28
2 32.89 42  104.79 1.0021493928575857e-28
2 32.89 43  104.79 9.337292235633657e-29
2 32.89 44  104.79 1.9865188146445907e-29
2 32.89 45  104.79 5.9276385882679914e-30
2 32.89 46  104.79 1.3733328072175608e-29
2 32.89 47  106.67 0.0009369727834354292
2 32.89 48  111.27 0.008830898571022958
2 32.89 49  111.27 0.014023547079256201
2 32.89 50  111.27 0.00760088969723907
2 32.89 51  111.27 0.01071149981434574
2 32.89 52  111.27 0.002373775329388837
