1 0.0 1  0.0 1.320353110579698e-14
1 0.0 2  32.41 0.2837803084199103
1 0.0 3  32.41 0.2837791946761939
1 0.0 4  32.41 0.28377940372418714
1 0.0 5  61.0 0.04813818286495495
1 0.0 6  61.0 0.04813840940047536
1 0.0 7  61.0 0.0481381006167661
1 0.0 8  67.27 5.369149355089148e-9
1 0.0 9  67.27 5.4870309989889584e-8
1 0.0 10  67.64 5.789606380345946e-8
1 0.0 11  67.64 1.943686127191485e-24
1 0.0 12  67.64 4.723084048514113e-12
1 0.0 13  84.94 3.1502010368068954e-10
1 0.0 14  84.94 1.667467811676996e-22
1 0.0 15  84.94 1.7515142085280475e-11
1 0.0 16  86.54 5.910207605242626e-11
1 0.0 17  86.54 4.686956102790803e-10
1 0.0 18  86.95 5.113589187908031e-13
1 0.0 19  89.97 1.3506037834276322e-29
1 0.0 20  89.97 5.843043998620858e-31
1 0.0 21  93.43 3.9468797176563853e-13
1 0.0 22  93.43 1.218619627569464e-12
1 0.0 23  93.43 5.084399036913012e-13
1 0.0 24  93.47 6.050133362065295e-12
1 0.0 25  93.47 6.504128880965422e-27
1 0.0 26  93.47 1.2170317097831954e-11
1 0.0 27  114.97 5.15114650675347e-30
1 0.0 28  116.1 3.2700990445017084e-13
1 0.0 29  116.1 1.2153306736084153e-12
1 0.0 30  116.1 8.864736255192516e-16
1 0.0 31  116.31 1.0656674457929418e-5
1 0.0 32  116.31 1.065807687654994e-5
1 0.0 33  116.31 1.0661950816458148e-5
1 0.0 34  120.94 7.916058759811844e-13
1 0.0 35  120.94 1.7658164443986623e-10
1 0.0 36  122.88 3.7083836953032415e-11
1 0.0 37  122.88 5.642816075920694e-13
1 0.0 38  122.88 1.667830729562756e-26
1 0.0 39  124.59 1.0052513932913775e-5
1 0.0 40  124.59 1.0053271719833345e-5
1 0.0 41  124.59 1.0056765931076752e-5
1 0.0 42  127.99 1.3880461290792796e-30
1 0.0 43  127.99 3.998703639293537e-30
1 0.0 44  128.26 1.2271736565417957e-13
1 0.0 45  128.26 2.5265623440382353e-14
1 0.0 46  128.26 1.527983698367187e-14
1 0.0 47  129.72 6.045495299646955e-14
1 0.0 48  136.31 6.632212435070791e-10
1 0.0 49  136.31 3.05491999552862e-28
1 0.0 50  136.31 9.239358728610641e-12
1 0.0 51  137.76 1.3184141286344248e-12
1 0.0 52  137.76 7.441710767190013e-10
1 0.0 53  140.9 1.0660421566577986e-30
1 0.0 54  141.19 6.125030693693752e-13
1 0.0 55  141.19 1.5582023718947267e-12
1 0.0 56  141.19 2.321493402157822e-16
1 0.0 57  141.68 7.249293069279097e-8
1 0.0 58  141.68 7.17347850761413e-8
1 0.0 59  141.68 7.301692264917293e-8
1 0.0 60  143.25 3.91525631161007e-26
1 0.0 61  143.25 3.9342124963562576e-10
1 0.0 62  143.25 2.9319461387077923e-10
1 0.0 63  144.11 2.63624803382245e-9
1 0.0 64  144.11 1.5031725968246305e-25
1 0.0 65  144.11 2.6895139909876983e-9
1 0.0 66  144.3 8.163418759137368e-9
1 0.0 67  144.49 0.00022697188711483818
1 0.0 68  144.5 0.00022697460876296982
1 0.0 69  144.5 0.0002269753623738848
1 0.0 70  150.54 5.134375008042296e-10
1 0.0 71  150.54 1.477820996427647e-27
1 0.0 72  150.54 3.840398949589182e-14
1 0.0 73  151.45 7.789676957938462e-13
1 0.0 74  151.45 1.1468848783235738e-16
1 0.0 75  151.45 3.595330323279708e-13
1 0.0 76  152.7 2.4021141202766584e-10
1 0.0 77  152.71 1.0581100066543697e-28
1 0.0 78  152.71 2.5139631342810946e-12
1 0.0 79  152.93 9.828979859486436e-7
1 0.0 80  152.93 9.817591055640257e-7
1 0.0 81  152.93 9.826364035281578e-7
1 0.0 82  153.12 1.3107551868182694e-29
1 0.0 83  153.86 6.896771304756157e-12
1 0.0 84  153.86 1.2400651029183706e-10
1 0.0 85  155.67 2.1484294031901963e-15
1 0.0 86  155.67 4.3872455124965056e-13
1 0.0 87  155.67 2.3341293308832198e-15
1 0.0 88  156.55 1.350386947227923e-28
1 0.0 89  156.55 9.926595176892493e-30
1 0.0 90  159.04 0.00013776210423359247
1 0.0 91  159.04 0.00013776002507225505
1 0.0 92  159.04 0.00013776170032789385
1 0.0 93  170.98 7.922897596937534e-10
1 0.0 94  170.98 1.1122000649215959e-10
1 0.0 95  170.98 4.7292762447269804e-27
1 0.0 96  171.4 3.8916266215679697e-10
1 0.0 97  171.4 1.4442800918069535e-10
1 0.0 98  172.07 7.698670417273384e-12
1 0.0 99  172.07 7.443237234598069e-28
1 0.0 100  172.07 6.648597648132863e-10
2 32.41 2  0.0 2.9970252464558016e-8
2 32.41 3  0.0 2.9978883186494e-8
2 32.41 4  0.0 7.61871394637778e-25
2 32.41 5  28.58 5.0982662926490245e-23
2 32.41 6  28.58 5.781927865745616e-8
2 32.41 7  28.58 4.409122238181069e-8
2 32.41 8  34.85 0.008499868235331859
2 32.41 9  34.85 0.1349973067253166
2 32.41 10  35.22 0.09028787350231915
2 32.41 11  35.22 0.09028469096736286
2 32.41 12  35.22 4.812109436139535e-16
2 32.41 13  52.53 0.021164819680310514
2 32.41 14  52.53 0.0211653128394438
2 32.41 15  52.53 2.0397611335627497e-13
2 32.41 16  54.13 0.0007998176660351489
2 32.41 17  54.13 0.013426467924653232
2 32.41 18  54.54 0.009895039532374725
2 32.41 19  57.56 2.795077619842916e-11
2 32.41 20  57.56 9.14270576756264e-10
2 32.41 21  61.02 1.0747053436328028e-20
2 32.41 22  61.02 2.160230842650491e-5
2 32.41 23  61.02 8.161914058081613e-12
2 32.41 24  61.05 0.02791656934539477
2 32.41 25  61.05 0.02793830069819658
2 32.41 26  61.05 4.15003372734862e-18
2 32.41 27  82.56 4.828326461527777e-9
2 32.41 28  83.69 4.4348831982706276e-8
2 32.41 29  83.69 4.4409095896505135e-8
2 32.41 30  83.69 4.9587811649223705e-24
2 32.41 31  83.9 2.3171000285314855e-8
2 32.41 32  83.9 1.24321477078409e-8
2 32.41 33  83.9 6.3133723173604964e-24
2 32.41 34  88.52 0.018145873335039503
2 32.41 35  88.52 0.013585893442125263
2 32.41 36  90.47 0.030488127474767347
2 32.41 37  90.47 7.92078172066154e-16
2 32.41 38  90.47 0.030487788316170848
2 32.41 39  92.18 6.004419980433728e-8
2 32.41 40  92.18 3.217160822228766e-7
2 32.41 41  92.18 1.7858074031659005e-24
2 32.41 42  95.57 4.239089934873183e-9
2 32.41 43  95.57 3.0918604038369218e-9
2 32.41 44  95.84 2.3503222097492606e-10
2 32.41 45  95.84 3.9146709234505256e-24
2 32.41 46  95.84 3.009672057605182e-11
2 32.41 47  97.31 0.0016827928982647473
2 32.41 48  103.9 0.02812120550598058
2 32.41 49  103.9 0.028122218466057405
2 32.41 50  103.9 1.12637517614561e-17
2 32.41 51  105.34 0.006784393151126855
2 32.41 52  105.34 0.04207997893343771
2 32.41 53  108.49 4.278405600331236e-13
2 32.41 54  108.78 2.7657053974988498e-8
2 32.41 55  108.78 2.1722905012611915e-8
2 32.41 56  108.78 8.668038348953039e-26
2 32.41 57  109.27 1.0886008776755022e-7
2 32.41 58  109.27 5.122121117390455e-23
2 32.41 59  109.27 7.78817686235575e-9
2 32.41 60  110.84 5.584117770857423e-6
2 32.41 61  110.84 7.415872413823034e-22
2 32.41 62  110.84 5.5502737514535914e-6
2 32.41 63  111.69 0.00193436786815224
2 32.41 64  111.69 0.0019347323388322873
2 32.41 65  111.69 1.6882808298620617e-19
2 32.41 66  111.89 3.924623606421558e-11
2 32.41 67  112.08 7.731252152545552e-9
2 32.41 68  112.08 3.5040722965088693e-11
2 32.41 69  112.08 3.808537597599789e-24
2 32.41 70  118.13 0.00032385264407069827
2 32.41 71  118.13 0.00032405713022369147
2 32.41 72  118.13 1.2962519287317487e-18
2 32.41 73  119.03 3.044572379729003e-7
2 32.41 74  119.03 1.1638212173736904e-23
2 32.41 75  119.03 1.9243343223831478e-7
2 32.41 76  120.29 0.019588715318949398
2 32.41 77  120.29 0.01959264073491103
2 32.41 78  120.29 5.878887741661258e-18
2 32.41 79  120.52 9.84454463709819e-7
2 32.41 80  120.52 4.717923796965688e-22
2 32.41 81  120.52 4.7612094734599e-6
2 32.41 82  120.71 9.124319624010601e-7
2 32.41 83  121.44 0.0216249261335355
2 32.41 84  121.45 0.00286920805126236
2 32.41 85  123.25 5.4397605680885946e-9
2 32.41 86  123.25 3.591707474431996e-8
2 32.41 87  123.25 1.832257051696749e-25
2 32.41 88  124.14 1.4262991632561525e-9
2 32.41 89  124.14 1.4018546111013843e-9
2 32.41 90  126.62 3.1912193064350258e-9
2 32.41 91  126.62 5.464708411956579e-9
2 32.41 92  126.62 6.87920290463523e-26
2 32.41 93  138.56 2.2635252446893682e-7
2 32.41 94  138.56 3.808232888571664e-23
2 32.41 95  138.56 2.2526307330339208e-7
2 32.41 96  138.99 7.761949014662459e-7
2 32.41 97  138.99 2.183716841947645e-6
2 32.41 98  139.66 6.133073612490675e-21
2 32.41 99  139.66 1.87462145955202e-5
2 32.41 100  139.66 1.873196693855142e-5
3 32.41 3  0.0 3.2688596000305944e-8
3 32.41 4  0.0 3.1032761827414496e-12
3 32.41 5  28.58 1.4292187124032493e-11
3 32.41 6  28.58 5.19984314378596e-8
3 32.41 7  28.58 4.681201538199589e-8
3 32.41 8  34.85 0.07403888091751831
3 32.41 9  34.85 0.06945924615755393
