1 0.0 1  0.0 9.635640551289123e-30
1 0.0 2  32.76 0.2954184187859244
1 0.0 3  32.76 0.29541841878592323
1 0.0 4  32.76 0.29541841878592834
1 0.0 5  66.74 0.03646513380860793
1 0.0 6  66.74 0.03646513380860767
1 0.0 7  66.74 0.03646513380860765
1 0.0 8  67.83 5.505606565327969e-27
1 0.0 9  67.83 6.969708430621625e-27
1 0.0 10  67.83 2.1764879730451594e-29
1 0.0 11  67.83 7.631032564295111e-30
1 0.0 12  67.83 4.059730369246885e-26
1 0.0 13  89.36 1.1781237921313153e-31
1 0.0 14  89.36 1.6812524763138567e-30
1 0.0 15  89.36 1.6707658161517044e-31
1 0.0 16  89.36 2.76537176526689e-31
1 0.0 17  89.36 3.019053703052785e-31
1 0.0 18  91.18 4.644153121037936e-31
1 0.0 19  92.16 2.501116414902114e-32
1 0.0 20  92.16 3.082739901067833e-32
1 0.0 21  92.16 1.6051084187058208e-32
1 0.0 22  92.16 7.298068687885217e-31
1 0.0 23  92.16 1.4765525655974559e-31
1 0.0 24  99.97 1.0042158627818001e-30
1 0.0 25  99.97 1.5639509836449747e-31
1 0.0 26  99.97 2.475820856234303e-31
1 0.0 27  119.57 5.345111772647485e-32
1 0.0 28  119.57 3.2457840440171444e-32
1 0.0 29  119.57 2.5222778999862545e-32
1 0.0 30  119.57 5.16726558579786e-32
1 0.0 31  119.57 9.796549689920793e-33
1 0.0 32  119.57 6.058713026014299e-32
1 0.0 33  119.57 4.6794681028643336e-32
1 0.0 34  127.71 8.323907987230821e-31
1 0.0 35  127.71 1.9640127219515431e-31
1 0.0 36  127.71 9.258328626323588e-31
1 0.0 37  127.71 4.890577766687804e-31
1 0.0 38  127.71 2.1870721700706855e-31
1 0.0 39  129.81 1.107142231294212e-5
1 0.0 40  129.81 1.1071422312943655e-5
1 0.0 41  129.81 1.1071422312943384e-5
1 0.0 42  133.02 2.2682011176918804e-31
1 0.0 43  134.76 9.296552811905551e-32
1 0.0 44  134.76 5.306279483914574e-33
1 0.0 45  134.76 1.2754573700455742e-32
1 0.0 46  134.76 3.06037258059746e-32
1 0.0 47  134.76 4.265927837319285e-31
1 0.0 48  140.52 2.732277418818348e-31
1 0.0 49  140.52 5.834535656360395e-31
1 0.0 50  140.52 3.3475680502655334e-31
1 0.0 51  140.52 6.772005906905266e-31
1 0.0 52  140.52 4.158355232207131e-31
1 0.0 53  145.8 1.415335049604562e-31
1 0.0 54  145.8 3.75321433447771e-31
1 0.0 55  145.8 7.026822635209385e-33
1 0.0 56  145.8 2.2243865562037474e-31
1 0.0 57  145.8 2.0906125411730553e-32
1 0.0 58  145.8 1.2954222305810553e-31
1 0.0 59  145.8 1.8685067054126616e-32
1 0.0 60  148.61 2.758562843471438e-32
1 0.0 61  148.61 1.2971182178590655e-31
1 0.0 62  148.61 2.4796686704069257e-31
1 0.0 63  148.61 5.5752695536946765e-33
1 0.0 64  148.61 4.6747106732426695e-33
1 0.0 65  148.61 1.7919440973750655e-32
1 0.0 66  148.61 1.120633632656042e-30
1 0.0 67  152.73 0.00032135400639903645
1 0.0 68  152.73 0.00032135400639903645
1 0.0 69  152.73 0.0003213540063990417
1 0.0 70  156.27 5.283001119264673e-31
1 0.0 71  156.27 6.211650429002898e-32
1 0.0 72  156.27 1.0087976865549366e-32
1 0.0 73  156.27 1.6201056519355964e-32
1 0.0 74  156.27 1.4009797690496423e-32
1 0.0 75  156.27 1.9471654732040797e-32
1 0.0 76  156.27 5.235048957729699e-32
1 0.0 77  156.47 6.789270056944716e-32
1 0.0 78  156.47 8.573861028516393e-33
1 0.0 79  156.47 4.0207900661518654e-31
1 0.0 80  157.59 5.219546123475532e-32
1 0.0 81  157.59 2.5967927788284884e-30
1 0.0 82  157.59 1.9994416534204877e-31
1 0.0 83  157.59 1.4018818538435297e-30
1 0.0 84  157.59 4.662911034448945e-31
1 0.0 85  159.93 1.1210394082754864e-32
1 0.0 86  159.93 5.726454343112814e-31
1 0.0 87  159.93 7.030824938169931e-33
1 0.0 88  159.93 6.428870657827639e-30
1 0.0 89  159.93 4.9458125830111115e-31
1 0.0 90  161.66 3.6193873061495485e-5
1 0.0 91  161.66 3.619387306149583e-5
1 0.0 92  161.66 3.6193873061495844e-5
1 0.0 93  175.79 4.6888679195948565e-32
1 0.0 94  175.79 8.975615085422873e-32
1 0.0 95  175.79 6.351667313365784e-32
1 0.0 96  175.79 2.336402010744788e-32
1 0.0 97  175.79 2.9406028829810365e-32
1 0.0 98  175.79 6.976578770776005e-32
1 0.0 99  175.79 5.444141098029306e-33
1 0.0 100  175.79 1.7479064400296403e-33
2 32.76 2  0.0 1.5693233037139832e-31
2 32.76 3  0.0 5.939822112002089e-31
2 32.76 4  0.0 2.5775986181942784e-27
2 32.76 5  33.99 1.4503987263357374e-25
2 32.76 6  33.99 5.150484972511758e-27
2 32.76 7  33.99 1.0080407392869971e-26
2 32.76 8  35.07 0.04012148819278627
2 32.76 9  35.07 0.05624658170312045
2 32.76 10  35.07 0.05342309472611355
2 32.76 11  35.07 0.03154953072213958
2 32.76 12  35.07 0.13076311173223604
2 32.76 13  56.61 0.011489817761459908
2 32.76 14  56.61 0.011683950786738038
2 32.76 15  56.61 0.0135977246226521
2 32.76 16  56.61 0.01162540437717616
2 32.76 17  56.61 0.011668858569434904
2 32.76 18  58.42 0.006722835528354803
2 32.76 19  59.4 3.428326454181478e-30
2 32.76 20  59.4 1.3627669950835995e-30
2 32.76 21  59.4 6.873070862373691e-30
2 32.76 22  59.4 2.649735453618263e-27
2 32.76 23  59.4 3.3163181646904717e-29
2 32.76 24  67.21 0.012420851649608522
2 32.76 25  67.21 0.017792488845508596
2 32.76 26  67.21 0.013085576774638449
2 32.76 27  86.82 5.219906526214932e-30
2 32.76 28  86.82 2.4545848662203863e-29
2 32.76 29  86.82 1.3391380220850327e-29
2 32.76 30  86.82 1.548075371065611e-30
2 32.76 31  86.82 2.980113563169849e-30
2 32.76 32  86.82 9.416376900910038e-29
2 32.76 33  86.82 8.657879188714774e-29
2 32.76 34  94.96 0.022596893635442296
2 32.76 35  94.96 0.036403421354412796
2 32.76 36  94.96 0.006411582812047783
2 32.76 37  94.96 0.026671880174123145
2 32.76 38  94.96 0.04598410682797505
2 32.76 39  97.05 3.9215908856370305e-29
2 32.76 40  97.05 3.2448379112354854e-29
2 32.76 41  97.05 8.793416277540882e-29
2 32.76 42  100.27 0.0014966876820484377
2 32.76 43  102.0 5.5709032869817804e-30
2 32.76 44  102.0 6.678341814410724e-30
2 32.76 45  102.0 1.502313230234396e-29
2 32.76 46  102.0 3.622718207701275e-29
2 32.76 47  102.0 8.981429644309106e-29
2 32.76 48  107.76 0.02221427030930685
2 32.76 49  107.76 0.00928541464457474
2 32.76 50  107.76 0.015935494221363124
2 32.76 51  107.76 0.02004246617585871
2 32.76 52  107.76 0.011713706922810107
2 32.76 53  113.05 1.0114293767328647e-29
2 32.76 54  113.05 4.066426629774752e-30
2 32.76 55  113.05 1.0785516837600357e-30
2 32.76 56  113.05 1.5487143604696798e-30
2 32.76 57  113.05 1.7917228291031635e-30
2 32.76 58  113.05 3.7148633988463846e-29
2 32.76 59  113.05 1.4742187638820707e-29
2 32.76 60  115.85 1.3809104852153568e-30
2 32.76 61  115.85 1.6888813678120744e-29
2 32.76 62  115.85 2.2313193166181577e-29
2 32.76 63  115.85 2.5864043160846875e-29
2 32.76 64  115.85 1.2181819430184435e-29
2 32.76 65  115.85 2.7523466114320567e-31
2 32.76 66  115.85 1.8969068596347737e-29
2 32.76 67  119.98 1.2467408366813077e-29
2 32.76 68  119.98 1.868020480357268e-29
2 32.76 69  119.98 2.3051550505879818e-29
2 32.76 70  123.52 1.2036248989802116e-27
2 32.76 71  123.52 1.7437688794972364e-29
2 32.76 72  123.52 7.017609554845748e-27
2 32.76 73  123.52 7.55126487563367e-27
2 32.76 74  123.52 3.8216665445482808e-28
2 32.76 75  123.52 7.841411913409092e-30
2 32.76 76  123.52 1.6198671109292238e-27
2 32.76 77  123.71 0.0002602929727988514
2 32.76 78  123.71 0.00024138786458190935
2 32.76 79  123.71 0.00040615208506834604
2 32.76 80  124.83 0.011659471954808579
2 32.76 81  124.83 0.002354253364266226
2 32.76 82  124.83 0.009102117802031602
2 32.76 83  124.83 0.017015426120381198
2 32.76 84  124.83 0.011171303647311755
2 32.76 85  127.18 4.972866340417072e-29
2 32.76 86  127.18 3.0958296294132485e-28
2 32.76 87  127.18 4.0470895393452317e-29
2 32.76 88  127.18 2.2926701590393876e-27
2 32.76 89  127.18 3.0561573111390106e-29
2 32.76 90  128.91 2.408746558995489e-28
2 32.76 91  128.91 1.4032869137254125e-29
2 32.76 92  128.91 1.3042831423981107e-29
2 32.76 93  143.03 1.0988434181377796e-30
2 32.76 94  143.03 7.260332946746038e-32
2 32.76 95  143.03 1.1284554203119167e-30
2 32.76 96  143.03 4.2095437835276574e-32
2 32.76 97  143.03 1.5495499119491325e-32
2 32.76 98  143.03 1.4528674677228038e-29
2 32.76 99  143.03 7.0873563345007555e-31
2 32.76 100  143.03 3.550423330596173e-32
3 32.76 3  0.0 1.4631916405862499e-30
3 32.76 4  0.0 4.659386940750146e-27
3 32.76 5  33.99 3.9964690363246507e-26
3 32.76 6  33.99 9.943730297067386e-27
3 32.76 7  33.99 9.073224376995345e-27
3 32.76 8  35.07 0.07719563529356063
3 32.76 9  35.07 0.051028337996813874
3 32.76 10  35.07 0.02310351408015369
3 32.76 11  35.07 0.12794976884749848
3 32.76 12  35.07 0.036559369614894754
3 32.76 13  56.61 0.01692764382256991
3 32.76 14  56.61 0.014028299621864034
3 32.76 15  56.61 0.01348567250484698
3 32.76 16  56.61 0.015311333558114596
3 32.76 17  56.61 0.008537067386000127
3 32.76 18  58.42 0.006722835528355597
3 32.76 19  59.4 1.490259233762752e-30
3 32.76 20  59.4 2.425310652632359e-30
3 32.76 21  59.4 2.415562027500546e-30
3 32.76 22  59.4 1.943074180066523e-27
3 32.76 23  59.4 2.329127413102975e-29
3 32.76 24  67.21 0.009467852997452977
3 32.76 25  67.21 0.02087970703136205
3 32.76 26  67.21 0.012978453218023543
3 32.76 27  86.82 1.4905827945225448e-29
3 32.76 28  86.82 1.6306229889509948e-29
3 32.76 29  86.82 1.3388404412090405e-28
3 32.76 30  86.82 1.3230430090031009e-30
3 32.76 31  86.82 1.8359763025151288e-30
3 32.76 32  86.82 9.335634711543919e-29
3 32.76 33  86.82 2.773597342652609e-29
3 32.76 34  94.96 0.032557140496321114
3 32.76 35  94.96 0.007379197398661883
3 32.76 36  94.96 0.06229385844510224
3 32.76 37  94.96 0.031080163179510126
3 32.76 38  94.96 0.003869001392987822
3 32.76 39  97.05 6.336539574636779e-29
3 32.76 40  97.05 3.692291392305245e-29
3 32.76 41  97.05 7.996382019712065e-29
3 32.76 42  100.27 0.001496687682048402
3 32.76 43  102.0 2.6316842855585027e-30
3 32.76 44  102.0 1.623657718445135e-29
3 32.76 45  102.0 7.963145455912246e-30
3 32.76 46  102.0 3.1214433891194316e-28
3 32.76 47  102.0 1.6817912426532933e-28
3 32.76 48  107.76 0.012868978746770255
3 32.76 49  107.76 0.005362197118544597
3 32.76 50  107.76 0.02116043737532079
3 32.76 51  107.76 0.01827937498799223
3 32.76 52  107.76 0.02104879565461251
3 32.76 53  113.05 1.2612874812828601e-29
